Cities,lat,lng,admin_name
Sankrail,22.5700,88.2400,West Bengal
Elesvaram,17.2833,82.1000,Andhra Pradesh
Tarakeswar,22.8900,88.0200,West Bengal
Nibria,22.6100,88.2500,West Bengal
Kuli,24.7366,87.9426,West Bengal
Beldanga,23.9300,88.2500,West Bengal
Saranga,22.5400,88.2100,West Bengal
Jaynagar-Majilpur,22.1745,88.4184,West Bengal
Panchla,22.5400,88.1400,West Bengal
Mamidalapadu,15.8310,78.0500,Andhra Pradesh
Jalhalli,13.0333,77.5500,Karnātaka
Poranki,16.4743,80.7128,Andhra Pradesh
Sundararaopeta,16.8031,81.6419,Andhra Pradesh
Bauria,22.4521,88.1853,West Bengal
Dumjor,22.6400,88.2200,West Bengal
Mahiari,22.5900,88.2400,West Bengal
Mayahaura,22.1834,88.4998,West Bengal
Dispur,26.1500,91.7700,Assam
Malancha,24.6660,87.9220,West Bengal
Raghudebbati,22.5300,88.2000,West Bengal
Nahazari,22.4347,88.2487,West Bengal
Giria,24.5167,88.0667,West Bengal
Baharu,22.2040,88.4283,West Bengal
Jagdispur,22.6500,88.2900,West Bengal
Ramnagar,22.3245,88.4940,West Bengal
Jaypul,22.7833,88.5695,West Bengal
Dogachi,24.6195,87.9221,West Bengal
Janai,22.7157,88.2426,West Bengal
Bahagalpur,24.5934,87.9536,West Bengal
Muragacha,22.6900,88.4200,West Bengal
Chandi,22.3503,88.2828,West Bengal
Saktipur,23.8640,88.1987,West Bengal
Bhabanipur,24.7153,87.9227,West Bengal
Bandlaguda,17.3543,78.3853,Telangana
Begampur,22.3705,88.4940,West Bengal
Amtala,22.2200,88.1700,West Bengal
Velivennu,16.8443,81.6895,Andhra Pradesh
Begampur,22.7400,88.2400,West Bengal
Kalinagar,22.4383,88.1150,West Bengal
Natshal,22.1957,88.0272,West Bengal
Chaital,22.5106,88.7996,West Bengal
Dhamua,22.2875,88.3962,West Bengal
Multi,22.2847,88.4053,West Bengal
Chandpur,22.4368,88.1711,West Bengal
Sahapur,22.5200,88.1700,West Bengal
Amgachia,22.4156,88.3051,West Bengal
Laskarpar,22.5833,88.1036,West Bengal
Nimpot,22.1500,88.4300,West Bengal
Harua,24.5249,87.9931,West Bengal
Nazira,22.2180,88.2757,West Bengal
Krishnapur,22.6700,88.2600,West Bengal
Nalpur,22.5300,88.1900,West Bengal
Mahadipur,24.8566,88.1248,West Bengal
Iarpur,22.2998,88.2994,West Bengal
Raspunji,22.4367,88.2705,West Bengal
Nijgaon Paranpur,25.1559,87.9732,West Bengal
Ballalpur,24.7386,87.9083,West Bengal
Kavaratti,10.5626,72.6369,Lakshadweep
Patra,22.2194,88.2142,West Bengal
Chandnidaha,24.6342,87.9510,West Bengal
Nabagram,22.2935,88.5183,West Bengal
Hilora,24.5055,87.9661,West Bengal
Imamnagar,24.7450,87.9247,West Bengal
Serpur,22.3204,88.3117,West Bengal
Dignagar,23.3283,88.4469,West Bengal
Palta,22.8083,88.3943,West Bengal
Beonta,22.5242,88.5049,West Bengal
Andharmanik,22.3715,88.3517,West Bengal
Balbalpara,24.6234,87.9594,West Bengal
Bhandardaha,22.6200,88.2100,West Bengal
Jajigram,24.4724,87.9589,West Bengal
Alipur,22.1936,88.4295,West Bengal
Burul,22.3685,88.1065,West Bengal
Purbba Ramnagar,22.8541,88.0193,West Bengal
Bansabati,24.5064,87.9985,West Bengal
Bodai,22.7994,88.4874,West Bengal
Uttarbhag,22.3465,88.4976,West Bengal
Gacha,22.7063,88.9198,West Bengal
Gotra,22.6216,88.8792,West Bengal
Bamanpukur,22.5119,88.7001,West Bengal
Padmarha,22.2474,88.4464,West Bengal
Ramkrishnapur,22.3574,88.2583,West Bengal
Iswaripur,22.7324,88.4106,West Bengal
Nadabhanga,22.4049,88.2340,West Bengal
Bishnupur,22.3800,88.2700,West Bengal
Bhasa,22.4145,88.2838,West Bengal
Bodra,22.4453,88.6157,West Bengal
Tinsukia,27.4892,95.3600,Assam
Khambhat,22.3131,72.6194,Gujarāt
Aurangabad,24.7704,84.3800,Bihār
Chakdaha,23.0800,88.5200,West Bengal
Contai,21.7800,87.7500,West Bengal
Rayachoti,14.0500,78.7500,Andhra Pradesh
Kavali,14.9123,79.9944,Andhra Pradesh
Mancheral,18.8679,79.4639,Telangana
Kairana,29.3953,77.2053,Uttar Pradesh
Kadiri,14.1200,78.1700,Andhra Pradesh
Madgaon,15.2719,73.9583,Goa
Ootacamund,11.4086,76.6939,Tamil Nādu
Faridkot,30.6700,74.7600,Punjab
Anakapalle,17.6800,83.0200,Andhra Pradesh
Garulia,22.8200,88.3700,West Bengal
Sirsilla,18.3800,78.8300,Telangana
Katoya,23.6500,88.1300,West Bengal
Kamareddipet,18.3167,78.3500,Telangana
Bolpur,23.6700,87.7200,West Bengal
Gumla,23.0444,84.5417,Jharkhand
Simdega,22.6200,84.5200,Jharkhand
Kottagudem,17.5500,80.6300,Telangana
Koch Bihar,26.3167,89.4333,West Bengal
Bodhan,18.6700,77.9000,Telangana
Karur,10.9504,78.0833,Tamil Nādu
Mangalagiri,16.4300,80.5500,Andhra Pradesh
Bapatla,15.8889,80.4700,Andhra Pradesh
Markapur,15.7350,79.2700,Andhra Pradesh
Malaut,30.1900,74.4990,Punjab
Badvel,14.7500,79.0500,Andhra Pradesh
Jorhat,26.7500,94.2167,Assam
Basavakalyan,17.8700,76.9500,Karnātaka
Beypore,11.1800,75.8200,Kerala
Bishnupur,23.0833,87.3167,West Bengal
Koratla,18.8200,78.7200,Telangana
Pulivendla,14.4167,78.2333,Andhra Pradesh
Alipur Duar,26.5000,89.5200,West Bengal
Jaisalmer,26.9167,70.9167,Rājasthān
Tadepalle,16.4667,80.6000,Andhra Pradesh
Gadwal,16.2300,77.8000,Telangana
Jatani,20.1700,85.7000,Odisha
Kodad,16.9978,79.9653,Telangana
Nawalgarh,27.8500,75.2700,Rājasthān
Armur,18.7900,78.2900,Telangana
Jhargram,22.4500,86.9800,West Bengal
Wanparti,16.3610,78.0627,Telangana
Chamrajnagar,11.9236,76.9400,Karnātaka
Ponnuru,16.0667,80.5667,Andhra Pradesh
Chandralapadu,16.7150,80.2089,Andhra Pradesh
Vinukonda,16.0500,79.7500,Andhra Pradesh
Tezpur,26.6338,92.8000,Assam
Narasapur,16.4333,81.6833,Andhra Pradesh
Panskura,22.4200,87.7000,West Bengal
Rampur Hat,24.1700,87.7800,West Bengal
Lonavale,18.7481,73.4072,Mahārāshtra
Samalkot,17.0531,82.1695,Andhra Pradesh
Kalna,23.2200,88.3700,West Bengal
Kothapet,19.3333,79.4833,Telangana
Macherla,16.4800,79.4300,Andhra Pradesh
Kandukur,15.2165,79.9042,Andhra Pradesh
Sattenapalle,16.3962,80.1497,Andhra Pradesh
Bobbili,18.5729,83.3587,Andhra Pradesh
Vrindavan,27.5728,77.6933,Uttar Pradesh
Gangarampur,25.4000,88.5200,West Bengal
Kandi,23.9500,88.0300,West Bengal
Belampalli,19.0558,79.4931,Telangana
Pithoragarh,29.5800,80.2200,Uttarakhand
Puttur,13.4500,79.5500,Andhra Pradesh
Islampur,26.2700,88.2000,West Bengal
Punganuru,13.3667,78.5833,Andhra Pradesh
Nandod,21.8704,73.5026,Gujarāt
Palmaner,13.2000,78.7500,Andhra Pradesh
Jalor,25.3500,72.6167,Rājasthān
Kaliyaganj,25.6300,88.3200,West Bengal
Vikarabad,17.3300,77.9000,Telangana
Baduria,22.7400,88.7900,West Bengal
Dholka,22.7200,72.4700,Gujarāt
Tuni,17.3500,82.5500,Andhra Pradesh
Jaggayyapeta,16.8920,80.0976,Andhra Pradesh
Venkatagiri,13.9667,79.5833,Andhra Pradesh
Sihor,21.7000,71.9700,Gujarāt
Jangaon,17.7200,79.1800,Telangana
Mandamari,18.9822,79.4811,Telangana
Diu,20.7150,70.9844,Damān and Diu
Metpalli,18.8297,78.5878,Telangana
Repalle,16.0200,80.8500,Andhra Pradesh
Peddapuram,17.0800,82.1300,Andhra Pradesh
Bhadrachalam,17.6700,80.8800,Telangana
Ajodhya,26.8036,82.2006,Uttar Pradesh
Bhainsa,19.1000,77.9667,Telangana
Prattipadu,16.1878,80.3392,Andhra Pradesh
Jasdan,22.0300,71.2000,Gujarāt
Vuyyuru,16.3667,80.8500,Andhra Pradesh
Nandikotkur,15.8670,78.2670,Andhra Pradesh
Dhupgari,26.6000,89.0200,West Bengal
Jammalamadugu,14.8500,78.3800,Andhra Pradesh
Rameswaram,9.2800,79.3000,Tamil Nādu
Murshidabad,24.1800,88.2700,West Bengal
Sainthia,23.9500,87.6700,West Bengal
Charkhi Dadri,28.5900,76.2700,Haryāna
Nandigama,16.7833,80.3000,Andhra Pradesh
Nidadavole,16.9200,81.6700,Andhra Pradesh
Addanki,15.8110,79.9738,Andhra Pradesh
Nilothi,28.8167,76.8667,Haryāna
Mahbubabad,17.6167,80.0167,Telangana
Berubari,26.3603,88.7152,West Bengal
Akbarpur,26.5200,82.6200,Uttar Pradesh
Karsiyang,26.8800,88.2800,West Bengal
Rajgir,25.0300,85.4200,Bihār
Nalhati,24.3000,87.8200,West Bengal
Memari,23.2000,88.1200,West Bengal
Rajaori,33.3800,74.3000,Jammu and Kashmīr
Pileru,13.6500,78.9333,Andhra Pradesh
Peddapalli,18.6162,79.3832,Telangana
Naini Tal,29.3919,79.4542,Uttarakhand
Kovvur,17.0167,81.7333,Andhra Pradesh
Channarayapatna,12.9000,76.3900,Karnātaka
Maihar,24.2700,80.7500,Madhya Pradesh
Junnar,19.2000,73.8800,Mahārāshtra
Kalimpong,27.0600,88.4700,West Bengal
Atmakur,15.8779,78.5884,Andhra Pradesh
Solan,30.9200,77.1200,Himāchal Pradesh
Vetapalem,15.7800,80.3200,Andhra Pradesh
Taki,22.5900,88.9200,West Bengal
Betamcherla,15.4667,78.1667,Andhra Pradesh
Penumur,13.3667,79.1833,Andhra Pradesh
Dwarka,22.2403,68.9686,Gujarāt
Kadiyam,16.9167,81.8333,Andhra Pradesh
Dubrajpur,23.8000,87.3800,West Bengal
Pathanamthitta,9.2647,76.7872,Kerala
Sitalkuchi,26.1697,89.1914,West Bengal
Dalkola,25.8758,87.8401,West Bengal
Ichchapuram,19.1200,84.7000,Andhra Pradesh
Mahe,11.7011,75.5367,Kerala
Kanigiri,15.4000,79.5166,Andhra Pradesh
Dinhata,26.1300,89.4700,West Bengal
Huzurnagar,16.9000,79.8833,Telangana
Kodaikanal,10.2300,77.4800,Tamil Nādu
Udhampur,32.9300,75.1300,Jammu and Kashmīr
Vempalle,14.3667,78.4667,Andhra Pradesh
Medchal,17.6297,78.4814,Telangana
Uravakonda,14.9500,77.2700,Andhra Pradesh
Guskhara,23.4928,87.7347,West Bengal
Yellandu,17.6000,80.3300,Telangana
Giddalur,15.3784,78.9265,Andhra Pradesh
Balarampur,26.2432,89.5863,West Bengal
Angamali,10.1960,76.3860,Kerala
Vemalwada,18.4667,78.8833,Telangana
Narsipatnam,17.6700,82.6200,Andhra Pradesh
Shrirangapattana,12.4181,76.6947,Karnātaka
Shamsabad,17.2603,78.3969,Telangana
Almora,29.6200,79.6700,Uttarakhand
Kondapalle,16.6167,80.5333,Andhra Pradesh
Debagram,23.6833,88.2833,West Bengal
Fatehpur Sikri,27.0911,77.6611,Uttar Pradesh
Jamikunta,18.2864,79.4761,Telangana
Darsi,15.7667,79.6833,Andhra Pradesh
Umaria,23.5245,80.8365,Madhya Pradesh
Kovur,14.4833,79.9833,Andhra Pradesh
Erraguntla,14.6333,78.5333,Andhra Pradesh
Naspur,18.8300,79.4500,Telangana
Kalyandrug,14.5500,77.1000,Andhra Pradesh
Mangur,17.9373,80.8185,Telangana
Tummapala,17.7166,82.9965,Andhra Pradesh
Pedana,16.2667,81.1667,Andhra Pradesh
Pandua,23.0800,88.2800,West Bengal
Lalgola,24.4200,88.2500,West Bengal
Mussoorie,30.4561,78.0781,Uttarakhand
Margram,24.1516,87.8442,West Bengal
Podili,15.6040,79.6080,Andhra Pradesh
Uran,18.8900,72.9500,Mahārāshtra
Mainaguri,26.5700,88.8200,West Bengal
Egra,21.9000,87.5300,West Bengal
Leh,34.1667,77.5833,Jammu and Kashmīr
Chimakurti,15.5819,79.8680,Andhra Pradesh
Koratgi,15.6081,76.6597,Karnātaka
Garaimari,24.0217,88.6263,West Bengal
Devarkonda,16.7000,78.9333,Telangana
